submit_id,hold_d
IDX00218,168.0
IDX00219,119.0
IDX00220,10.0
IDX00221,743.0
IDX00222,112.0
IDX00223,2.0
IDX00224,39.0
IDX00225,73.0
IDX00226,6.0
IDX00227,6.0
IDX00228,759.0
IDX00229,214.0
IDX00230,384.0
IDX00231,56.0
IDX00232,803.0
IDX00233,325.0
IDX00234,115.0
IDX00235,161.0
IDX00236,568.0
IDX00237,42.0
IDX00238,178.0
IDX00239,161.0
IDX00240,150.0
IDX00241,575.0
IDX00242,602.0
IDX00243,290.0
IDX00244,119.0
IDX00245,252.0
IDX00246,125.0
IDX00247,203.0
IDX00248,114.0
IDX00249,90.0
IDX00250,72.0
IDX00251,247.0
IDX00252,72.0
IDX00253,38.0
IDX00254,14.0
IDX00255,6.0
IDX00256,185.0
IDX00257,24.0
IDX00258,18.0
IDX00259,828.0
IDX00260,537.0
IDX00261,290.0
IDX00262,12.0
IDX00263,1127.0
IDX00264,247.0
IDX00265,17.0
IDX00266,1126.0
IDX00267,110.0
IDX00268,24.0
IDX00269,140.0
IDX00270,154.0
IDX00271,807.0
IDX00272,1119.0
IDX00273,1123.0
IDX00274,1039.0
IDX00275,806.0
IDX00276,1036.0
IDX00277,1117.0
IDX00278,699.0
IDX00279,807.0
IDX00280,1122.0
IDX00281,1123.0
IDX00282,1123.0
IDX00283,20.0
IDX00284,32.0
IDX00285,4.0
IDX00286,18.0
IDX00287,30.0
IDX00288,382.0
IDX00289,12.0
IDX00290,64.0
IDX00291,14.0
IDX00292,48.0
IDX00293,40.0
IDX00294,2.0
IDX00295,22.0
IDX00296,39.0
IDX00297,30.0
IDX00298,8.0
IDX00299,716.0
IDX00300,71.0
IDX00301,8.0
IDX00302,10.0
IDX00303,2.0
IDX00304,75.0
IDX00305,44.0
IDX00306,130.0
IDX00307,63.0
IDX00308,54.0
IDX00309,75.0
IDX00310,44.0
IDX00311,2.0
IDX00312,150.0
IDX00313,72.0
IDX00314,270.0
IDX00315,54.0
IDX00316,423.0
IDX00317,252.0
IDX00318,252.0
IDX00319,273.0
IDX00320,352.0
IDX00321,40.0
IDX00322,266.0
IDX00323,248.0
IDX00324,12.0
IDX00325,10.0
IDX00326,32.0
IDX00327,84.0
IDX00328,356.0
IDX00329,248.0
IDX00330,63.0
IDX00331,209.0
IDX00332,335.0
IDX00333,10.0
IDX00334,220.0
IDX00335,72.0
IDX00336,53.0
IDX00337,146.0
IDX00338,196.0
IDX00339,291.0
IDX00340,220.0
IDX00341,231.0
IDX00342,204.0
IDX00343,273.0
IDX00344,144.0
IDX00345,69.0
IDX00346,70.0
IDX00347,36.0
IDX00348,270.0
IDX00349,201.0
IDX00350,384.0
IDX00351,54.0
IDX00352,42.0
IDX00353,212.0
IDX00354,42.0
IDX00355,104.0
IDX00356,217.0
IDX00357,44.0
IDX00358,32.0
IDX00359,44.0
IDX00360,65.0
IDX00361,268.0
IDX00362,270.0
IDX00363,69.0
IDX00364,297.0
IDX00365,196.0
IDX00366,228.0
IDX00367,291.0
IDX00368,185.0
IDX00369,197.0
IDX00370,248.0
IDX00371,170.0
IDX00372,59.0
IDX00373,170.0
IDX00374,352.0
IDX00375,130.0
IDX00376,438.0
IDX00377,170.0
IDX00378,291.0
IDX00379,222.0
IDX00380,248.0
IDX00381,143.0
IDX00382,204.0
IDX00383,204.0
IDX00384,130.0
IDX00385,270.0
IDX00386,20.0
IDX00387,273.0
IDX00388,100.0
IDX00389,54.0
IDX00390,185.0
IDX00391,220.0
IDX00392,249.0
IDX00393,175.0
IDX00394,170.0
IDX00395,44.0
IDX00396,270.0
IDX00397,266.0
IDX00398,54.0
IDX00399,53.0
IDX00400,144.0
IDX00401,354.0
IDX00402,270.0
IDX00403,159.0
IDX00404,54.0
IDX00405,386.0
IDX00406,24.0
IDX00407,70.0
IDX00408,12.0
IDX00409,363.0
IDX00410,155.0
IDX00411,156.0
IDX00412,532.0
IDX00413,257.0
IDX00414,718.0
IDX00415,870.0
IDX00416,310.0
IDX00417,146.0
IDX00418,717.0
IDX00419,26.0
IDX00420,806.0
IDX00421,17.0
IDX00422,486.0
IDX00423,142.0
IDX00424,158.0
IDX00425,317.0
IDX00426,833.0
IDX00427,20.0
IDX00428,1022.0
IDX00429,156.0
IDX00430,149.0
IDX00431,48.0
IDX00432,308.0
IDX00433,138.0
IDX00434,4.0
IDX00435,26.0
IDX00436,154.0
IDX00437,149.0
IDX00438,811.0
IDX00439,137.0
IDX00440,198.0
IDX00441,630.0
IDX00442,201.0
IDX00443,376.0
IDX00444,204.0
IDX00445,201.0
IDX00446,629.0
IDX00447,1120.0
IDX00448,1117.0
IDX00449,1118.0
IDX00450,1119.0
IDX00451,167.0
IDX00452,1041.0
IDX00453,751.0
IDX00454,8.0
IDX00455,281.0
IDX00456,88.0
IDX00457,14.0
IDX00458,70.0
IDX00459,142.0
IDX00460,132.0
IDX00461,16.0
IDX00462,591.0
IDX00463,437.0
IDX00464,13.0
IDX00465,2.0
IDX00466,10.0
IDX00467,290.0
IDX00468,226.0
IDX00469,255.0
IDX00470,8.0
IDX00471,299.0
IDX00472,143.0
IDX00473,300.0
IDX00474,26.0
IDX00475,154.0
IDX00476,250.0
IDX00477,114.0
IDX00478,16.0
IDX00479,160.0
IDX00480,132.0
IDX00481,259.0
IDX00482,140.0
IDX00483,259.0
IDX00484,311.0
IDX00485,190.0
IDX00486,255.0
IDX00487,316.0
IDX00488,186.0
IDX00489,66.0
IDX00490,1123.0
IDX00491,154.0
IDX00492,300.0
IDX00493,34.0
IDX00494,262.0
IDX00495,310.0
IDX00496,1116.0
IDX00497,337.0
IDX00498,2.0
IDX00499,8.0
IDX00500,8.0
IDX00501,8.0
IDX00502,161.0
IDX00503,34.0
IDX00504,6.0
IDX00505,18.0
IDX00506,1132.0
IDX00507,1128.0
IDX00508,90.0
IDX00509,1120.0
IDX00510,50.0
IDX00511,32.0
IDX00512,155.0
IDX00513,228.0
IDX00514,31.0
IDX00515,130.0
IDX00516,73.0
IDX00517,53.0
IDX00518,54.0
IDX00519,20.0
IDX00520,149.0
IDX00521,75.0
IDX00522,59.0
IDX00523,69.0
IDX00524,79.0
IDX00525,29.0
IDX00526,44.0
IDX00527,97.0
IDX00528,18.0
IDX00529,22.0
IDX00530,8.0
IDX00531,90.0
IDX00532,92.0
IDX00533,121.0
IDX00534,93.0
IDX00535,19.0
IDX00536,50.0
IDX00537,12.0
IDX00538,113.0
IDX00539,108.0
IDX00540,1108.0
IDX00541,161.0
IDX00542,15.0
IDX00543,473.0
IDX00544,82.0
IDX00545,23.0
IDX00546,30.0
IDX00547,226.0
IDX00548,66.0
IDX00549,2.0
IDX00550,600.0
IDX00551,18.0
IDX00552,54.0
IDX00553,6.0
IDX00554,35.0
IDX00555,12.0
IDX00556,63.0
IDX00557,294.0
IDX00558,98.0
IDX00559,2.0
IDX00560,106.0
IDX00561,93.0
IDX00562,44.0
IDX00563,6.0
IDX00564,14.0
IDX00565,44.0
IDX00566,811.0
IDX00567,84.0
IDX00568,369.0
IDX00569,308.0
IDX00570,323.0
IDX00571,76.0
IDX00572,330.0
IDX00573,369.0
IDX00574,211.0
IDX00575,369.0
IDX00576,8.0
IDX00577,146.0
IDX00578,2.0
IDX00579,2.0
IDX00580,6.0
IDX00581,8.0
IDX00582,2.0
IDX00583,106.0
IDX00584,77.0
IDX00585,1019.0
IDX00586,65.0
IDX00587,1056.0
IDX00588,845.0
IDX00589,50.0
IDX00590,50.0
IDX00591,794.0
IDX00592,36.0
IDX00593,86.0
IDX00594,42.0
IDX00595,79.0
IDX00596,608.0
IDX00597,46.0
IDX00598,201.0
IDX00599,12.0
IDX00600,39.0
IDX00601,20.0
IDX00602,1118.0
IDX00603,18.0
IDX00604,10.0
IDX00605,2.0
IDX00606,1113.0
IDX00607,2.0
IDX00608,2.0
IDX00609,26.0
IDX00610,19.0
IDX00611,1123.0
IDX00612,1105.0
IDX00613,1130.0
IDX00614,1040.0
IDX00615,1123.0
IDX00616,172.0
IDX00617,26.0
IDX00618,24.0
IDX00619,302.0
IDX00620,661.0
IDX00621,416.0
IDX00622,661.0
IDX00623,1125.0
IDX00624,416.0
IDX00625,12.0
IDX00626,164.0
IDX00627,156.0
IDX00628,8.0
IDX00629,515.0
IDX00630,569.0
IDX00631,2.0
IDX00632,12.0
IDX00633,78.0
IDX00634,8.0
IDX00635,53.0
IDX00636,38.0
IDX00637,10.0
IDX00638,350.0
IDX00639,34.0
IDX00640,16.0
IDX00641,14.0
IDX00642,2.0
IDX00643,72.0
IDX00644,334.0
IDX00645,22.0
IDX00646,568.0
IDX00647,217.0
IDX00648,59.0
IDX00649,858.0
IDX00650,12.0
IDX00651,365.0
IDX00652,59.0
IDX00653,329.0
IDX00654,122.0
IDX00655,4.0
IDX00656,56.0
IDX00657,16.0
IDX00658,14.0
IDX00659,304.0
IDX00660,40.0
IDX00661,10.0
IDX00662,18.0
IDX00663,4.0
IDX00664,576.0
IDX00665,605.0
IDX00666,36.0
IDX00667,4.0
IDX00668,6.0
IDX00669,10.0
IDX00670,35.0
IDX00671,20.0
IDX00672,125.0
IDX00673,4.0
IDX00674,166.0
IDX00675,168.0
IDX00676,577.0
IDX00677,577.0
IDX00678,844.0
IDX00679,168.0
IDX00680,10.0
IDX00681,4.0
IDX00682,14.0
IDX00683,293.0
IDX00684,834.0
IDX00685,528.0
IDX00686,64.0
IDX00687,181.0
IDX00688,134.0
IDX00689,46.0
IDX00690,20.0
IDX00691,46.0
IDX00692,1111.0
IDX00693,14.0
IDX00694,259.0
IDX00695,14.0
IDX00696,324.0
IDX00697,324.0
IDX00698,152.0
IDX00699,210.0
IDX00700,214.0
IDX00701,324.0
IDX00702,195.0
IDX00703,28.0
IDX00704,52.0
IDX00705,242.0
IDX00706,868.0
IDX00707,864.0
IDX00708,553.0
IDX00709,524.0
IDX00710,582.0
IDX00711,717.0
IDX00712,864.0
IDX00713,465.0
IDX00714,543.0
IDX00715,524.0
IDX00716,760.0
IDX00717,460.0
IDX00718,703.0
IDX00719,1115.0
IDX00720,813.0
IDX00721,866.0
IDX00722,720.0
IDX00723,1098.0
IDX00724,524.0
IDX00725,621.0
IDX00726,379.0
IDX00727,621.0
IDX00728,875.0
IDX00729,808.0
IDX00730,52.0
IDX00731,172.0
IDX00732,806.0
IDX00733,203.0
IDX00734,20.0
IDX00735,6.0
IDX00736,392.0
IDX00737,109.0
IDX00738,287.0
IDX00739,723.0
IDX00740,14.0
IDX00741,28.0
IDX00742,6.0
IDX00743,287.0
IDX00744,270.0
IDX00745,270.0
IDX00746,442.0
IDX00747,880.0
IDX00748,76.0
IDX00749,812.0
IDX00750,56.0
IDX00751,376.0
IDX00752,146.0
IDX00753,8.0
IDX00754,176.0
IDX00755,327.0
IDX00756,71.0
IDX00757,138.0
IDX00758,110.0
IDX00759,6.0
IDX00760,2.0
IDX00761,2.0
IDX00762,146.0
IDX00763,284.0
IDX00764,311.0
IDX00765,810.0
IDX00766,1082.0
IDX00767,840.0
IDX00768,347.0
IDX00769,341.0
IDX00770,1090.0
IDX00771,1045.0
IDX00772,1096.0
IDX00773,1078.0
IDX00774,452.0
IDX00775,451.0
IDX00776,839.0
IDX00777,977.0
IDX00778,856.0
IDX00779,374.0
IDX00780,1040.0
IDX00781,660.0
IDX00782,35.0
IDX00783,18.0
IDX00784,24.0
IDX00785,8.0
IDX00786,10.0
IDX00787,97.0
IDX00788,370.0
IDX00789,337.0
IDX00790,17.0
IDX00791,35.0
IDX00792,50.0
IDX00793,145.0
IDX00794,64.0
IDX00795,60.0
IDX00796,32.0
IDX00797,6.0
IDX00798,303.0
IDX00799,126.0
IDX00800,48.0
IDX00801,36.0
IDX00802,146.0
IDX00803,167.0
IDX00804,20.0
IDX00805,97.0
IDX00806,216.0
IDX00807,375.0
IDX00808,12.0
IDX00809,16.0
IDX00810,20.0
IDX00811,164.0
IDX00812,784.0
IDX00813,598.0
IDX00814,381.0
IDX00815,260.0
IDX00816,438.0
IDX00817,259.0
IDX00818,232.0
IDX00819,12.0
IDX00820,2.0
IDX00821,12.0
IDX00822,69.0
IDX00823,44.0
IDX00824,46.0
IDX00825,18.0
IDX00826,306.0
IDX00827,8.0
IDX00828,12.0
IDX00829,55.0
IDX00830,50.0
IDX00831,170.0
IDX00832,4.0
IDX00833,4.0
IDX00834,176.0
IDX00835,53.0
IDX00836,4.0
IDX00837,12.0
IDX00838,753.0
IDX00839,12.0
IDX00840,21.0
IDX00841,26.0
IDX00842,2.0
IDX00843,125.0
IDX00844,10.0
IDX00845,4.0
IDX00846,4.0
IDX00847,2.0
IDX00848,18.0
IDX00849,82.0
IDX00850,63.0
IDX00851,8.0
IDX00852,166.0
IDX00853,18.0
IDX00854,121.0
IDX00855,314.0
IDX00856,455.0
IDX00857,54.0
IDX00858,18.0
IDX00859,12.0
IDX00860,20.0
IDX00861,34.0
IDX00862,22.0
IDX00863,31.0
IDX00864,118.0
IDX00865,444.0
IDX00866,825.0
IDX00867,358.0
IDX00868,446.0
IDX00869,1119.0
IDX00870,140.0
IDX00871,2.0
IDX00872,665.0
IDX00873,8.0
IDX00874,125.0
IDX00875,56.0
IDX00876,544.0
IDX00877,26.0
IDX00878,956.0
IDX00879,941.0
IDX00880,1016.0
IDX00881,1016.0
IDX00882,1013.0
IDX00883,292.0
IDX00884,34.0
IDX00885,399.0
IDX00886,482.0
IDX00887,545.0
IDX00888,434.0
IDX00889,32.0
IDX00890,4.0
IDX00891,29.0
IDX00892,2.0
IDX00893,42.0
IDX00894,64.0
IDX00895,36.0
IDX00896,54.0
IDX00897,24.0
IDX00898,20.0
IDX00899,69.0
IDX00900,103.0
IDX00901,46.0
IDX00902,59.0
IDX00903,48.0
IDX00904,20.0
IDX00905,98.0
IDX00906,2.0
IDX00907,50.0
IDX00908,20.0
IDX00909,60.0
IDX00910,20.0
IDX00911,24.0
IDX00912,12.0
IDX00913,4.0
IDX00914,40.0
IDX00915,56.0
IDX00916,14.0
IDX00917,44.0
IDX00918,16.0
IDX00919,18.0
IDX00920,18.0
IDX00921,14.0
IDX00922,2.0
IDX00923,44.0
IDX00924,40.0
IDX00925,864.0
IDX00926,1071.0
IDX00927,866.0
IDX00928,895.0
IDX00929,1077.0
IDX00930,390.0
IDX00931,862.0
IDX00932,870.0
IDX00933,169.0
IDX00934,1117.0
IDX00935,376.0
IDX00936,198.0
IDX00937,192.0
IDX00938,115.0
IDX00939,186.0
IDX00940,110.0
IDX00941,259.0
IDX00942,299.0
IDX00943,185.0
IDX00944,280.0
IDX00945,299.0
IDX00946,56.0
IDX00947,283.0
IDX00948,108.0
IDX00949,125.0
IDX00950,4.0
IDX00951,36.0
IDX00952,38.0
IDX00953,833.0
IDX00954,38.0
IDX00955,39.0
IDX00956,795.0
IDX00957,52.0
IDX00958,8.0
IDX00959,66.0
IDX00960,53.0
IDX00961,8.0
IDX00962,14.0
IDX00963,100.0
IDX00964,20.0
IDX00965,190.0
IDX00966,270.0
IDX00967,39.0
IDX00968,56.0
IDX00969,24.0
IDX00970,16.0
IDX00971,305.0
IDX00972,26.0
IDX00973,109.0
IDX00974,50.0
IDX00975,51.0
IDX00976,36.0
IDX00977,145.0
IDX00978,152.0
IDX00979,36.0
IDX00980,4.0
IDX00981,112.0
IDX00982,260.0
IDX00983,198.0
IDX00984,257.0
IDX00985,54.0
IDX00986,46.0
IDX00987,36.0
IDX00988,362.0
IDX00989,232.0
IDX00990,12.0
IDX00991,121.0
IDX00992,63.0
IDX00993,262.0
IDX00994,24.0
IDX00995,39.0
IDX00996,39.0
IDX00997,43.0
IDX00998,24.0
IDX00999,42.0
IDX01000,337.0
IDX01001,39.0
IDX01002,865.0
IDX01003,303.0
IDX01004,303.0
IDX01005,14.0
IDX01006,424.0
IDX01007,503.0
IDX01008,571.0
IDX01009,72.0
IDX01010,64.0
IDX01011,303.0
IDX01012,80.0
IDX01013,390.0
IDX01014,169.0
IDX01015,303.0
IDX01016,303.0
IDX01017,189.0
IDX01018,38.0
IDX01019,182.0
IDX01020,365.0
IDX01021,303.0
IDX01022,22.0
IDX01023,20.0
IDX01024,97.0
IDX01025,24.0
IDX01026,357.0
IDX01027,22.0
IDX01028,22.0
IDX01029,143.0
IDX01030,28.0
IDX01031,752.0
IDX01032,126.0
IDX01033,4.0
IDX01034,2.0
IDX01035,54.0
IDX01036,30.0
IDX01037,12.0
IDX01038,14.0
IDX01039,8.0
IDX01040,8.0
IDX01041,2.0
IDX01042,53.0
IDX01043,2.0
IDX01044,36.0
IDX01045,2.0
IDX01046,252.0
IDX01047,145.0
IDX01048,32.0
IDX01049,126.0
IDX01050,69.0
IDX01051,159.0
IDX01052,727.0
IDX01053,22.0
IDX01054,219.0
IDX01055,6.0
IDX01056,808.0
IDX01057,152.0
IDX01058,305.0
IDX01059,36.0
IDX01060,839.0
IDX01061,168.0
IDX01062,146.0
IDX01063,276.0
IDX01064,145.0
IDX01065,60.0
IDX01066,2.0
IDX01067,2.0
IDX01068,48.0
IDX01069,2.0
IDX01070,8.0
IDX01071,2.0
IDX01072,2.0
IDX01073,2.0
IDX01074,6.0
IDX01075,1022.0
IDX01076,249.0
IDX01077,849.0
IDX01078,341.0
IDX01079,126.0
IDX01080,378.0
IDX01081,6.0
IDX01082,28.0
IDX01083,26.0
IDX01084,2.0
IDX01085,31.0
IDX01086,2.0
IDX01087,2.0
IDX01088,124.0
IDX01089,2.0
IDX01090,118.0
IDX01091,2.0
IDX01092,363.0
IDX01093,807.0
IDX01094,4.0
IDX01095,211.0
IDX01096,310.0
IDX01097,1081.0
IDX01098,958.0
IDX01099,357.0
IDX01100,1047.0
IDX01101,1009.0
IDX01102,1047.0
IDX01103,1083.0
IDX01104,1092.0
IDX01105,958.0
IDX01106,953.0
IDX01107,12.0
IDX01108,298.0
IDX01109,231.0
IDX01110,212.0
IDX01111,417.0
IDX01112,150.0
IDX01113,150.0
IDX01114,420.0
IDX01115,298.0
IDX01116,157.0
IDX01117,345.0
IDX01118,228.0
IDX01119,150.0
IDX01120,50.0
IDX01121,250.0
IDX01122,196.0
IDX01123,16.0
IDX01124,18.0
IDX01125,18.0
IDX01126,20.0
IDX01127,22.0
IDX01128,6.0
IDX01129,327.0
IDX01130,149.0
IDX01131,18.0
IDX01132,28.0
IDX01133,16.0
IDX01134,44.0
IDX01135,38.0
IDX01136,134.0
IDX01137,12.0
IDX01138,31.0
IDX01139,10.0
IDX01140,31.0
IDX01141,327.0
IDX01142,17.0
IDX01143,138.0
IDX01144,28.0
IDX01145,44.0
IDX01146,50.0
IDX01147,220.0
IDX01148,50.0
IDX01149,50.0
IDX01150,50.0
IDX01151,114.0
IDX01152,132.0
IDX01153,2.0
IDX01154,174.0
IDX01155,30.0
IDX01156,34.0
IDX01157,12.0
IDX01158,26.0
IDX01159,195.0
IDX01160,209.0
IDX01161,155.0
IDX01162,277.0
IDX01163,70.0
IDX01164,181.0
IDX01165,10.0
IDX01166,36.0
IDX01167,10.0
IDX01168,76.0
IDX01169,48.0
IDX01170,40.0
IDX01171,10.0
IDX01172,38.0
IDX01173,50.0
IDX01174,32.0
IDX01175,69.0
IDX01176,2.0
IDX01177,1091.0
IDX01178,143.0
IDX01179,134.0
IDX01180,187.0
IDX01181,187.0
IDX01182,911.0
IDX01183,189.0
IDX01184,43.0
IDX01185,65.0
IDX01186,616.0
IDX01187,810.0
IDX01188,823.0
IDX01189,823.0
IDX01190,187.0
IDX01191,823.0
IDX01192,616.0
IDX01193,217.0
IDX01194,322.0
IDX01195,823.0
IDX01196,718.0
IDX01197,196.0
IDX01198,712.0
IDX01199,203.0
IDX01200,341.0
IDX01201,26.0
IDX01202,2.0
IDX01203,2.0
IDX01204,2.0
IDX01205,8.0
IDX01206,230.0
IDX01207,238.0
IDX01208,193.0
IDX01209,262.0
IDX01210,138.0
IDX01211,20.0
IDX01212,2.0
IDX01213,6.0
IDX01214,36.0
IDX01215,12.0
IDX01216,218.0
IDX01217,306.0
IDX01218,137.0
IDX01219,238.0
IDX01220,158.0
IDX01221,6.0
IDX01222,316.0
IDX01223,146.0
IDX01224,290.0
IDX01225,298.0
IDX01226,50.0
IDX01227,12.0
IDX01228,24.0
IDX01229,12.0
IDX01230,26.0
IDX01231,23.0
IDX01232,50.0
IDX01233,50.0
IDX01234,59.0
IDX01235,152.0
IDX01236,238.0
IDX01237,194.0
IDX01238,56.0
IDX01239,195.0
IDX01240,42.0
IDX01241,169.0
IDX01242,30.0
IDX01243,24.0
IDX01244,61.0
IDX01245,138.0
IDX01246,142.0
IDX01247,113.0
IDX01248,300.0
IDX01249,296.0
IDX01250,50.0
IDX01251,295.0
IDX01252,52.0
IDX01253,308.0
IDX01254,24.0
IDX01255,144.0
IDX01256,321.0
IDX01257,341.0
IDX01258,38.0
IDX01259,6.0
IDX01260,26.0
IDX01261,150.0
IDX01262,287.0
IDX01263,102.0
IDX01264,146.0
IDX01265,92.0
IDX01266,6.0
IDX01267,141.0
IDX01268,71.0
IDX01269,44.0
IDX01270,145.0
IDX01271,10.0
IDX01272,10.0
IDX01273,44.0
IDX01274,145.0
IDX01275,152.0
IDX01276,46.0
IDX01277,44.0
IDX01278,140.0
IDX01279,28.0
IDX01280,6.0
IDX01281,24.0
IDX01282,6.0
IDX01283,103.0
IDX01284,145.0
IDX01285,140.0
IDX01286,137.0
IDX01287,31.0
IDX01288,145.0
IDX01289,146.0
IDX01290,113.0
IDX01291,137.0
IDX01292,113.0
IDX01293,70.0
IDX01294,114.0
IDX01295,145.0
IDX01296,154.0
IDX01297,145.0
IDX01298,78.0
IDX01299,146.0
IDX01300,24.0
IDX01301,103.0
IDX01302,356.0
IDX01303,28.0
IDX01304,1035.0
IDX01305,952.0
IDX01306,1028.0
IDX01307,1028.0
IDX01308,1028.0
IDX01309,1022.0
IDX01310,1003.0
IDX01311,35.0
IDX01312,400.0
IDX01313,153.0
IDX01314,195.0
IDX01315,155.0
IDX01316,42.0
IDX01317,42.0
IDX01318,75.0
IDX01319,35.0
IDX01320,512.0
IDX01321,52.0
IDX01322,31.0
IDX01323,16.0
IDX01324,40.0
IDX01325,35.0
IDX01326,40.0
IDX01327,16.0
IDX01328,40.0
IDX01329,14.0
IDX01330,605.0
IDX01331,214.0
IDX01332,235.0
IDX01333,140.0
IDX01334,205.0
IDX01335,12.0
IDX01336,233.0
IDX01337,12.0
IDX01338,235.0
IDX01339,32.0
IDX01340,152.0
IDX01341,146.0
IDX01342,24.0
IDX01343,697.0
IDX01344,16.0
IDX01345,549.0
IDX01346,6.0
IDX01347,157.0
IDX01348,296.0
IDX01349,286.0
IDX01350,339.0
IDX01351,32.0
IDX01352,167.0
IDX01353,525.0
IDX01354,157.0
IDX01355,6.0
IDX01356,134.0
IDX01357,523.0
IDX01358,18.0
IDX01359,806.0
IDX01360,18.0
IDX01361,8.0
IDX01362,701.0
IDX01363,12.0
IDX01364,6.0
IDX01365,18.0
IDX01366,660.0
IDX01367,122.0
IDX01368,2.0
IDX01369,4.0
IDX01370,2.0
IDX01371,70.0
IDX01372,917.0
IDX01373,211.0
IDX01374,735.0
IDX01375,397.0
IDX01376,524.0
IDX01377,430.0
IDX01378,364.0
IDX01379,364.0
IDX01380,399.0
IDX01381,374.0
IDX01382,374.0
IDX01383,364.0
IDX01384,134.0
IDX01385,8.0
IDX01386,132.0
IDX01387,354.0
IDX01388,1069.0
